word1,word2,count
best,that,31
the,war,227
of,making,165
the,greatest,411
war,and,86
and,spent,66
wake,up,443
cities,in,40
spent,his,30
stay,inside,9
up,w,43
his,career,201
the,usa,134
w,the,115
career,working,5
see,you,1459
get,out,539
working,for,150
you,there,282
out,party,5
i,thought,1778
the,social,164
i,pretty,21
then,as,48
how,would,86
social,security,156
pretty,much,447
as,i,2219
would,you,624
security,administration,19
all,now,20
i,do,2135
much,always,6
now,that,589
we,haven't,110
to,sit,350
do,now,55
that,i,5468
would,trust,6
sit,at,52
carter,said,10
have,an,844
dancing,with,57
an,iphone,91
at,s,41
with,someone,144
but,i'd,49
someone,tells,24
i'd,say,88
especially,in,168
tells,you,71
what,apps,6
say,we,101
thurs,nite,6
apps,do,6
nite,for,6
lot,about,97
the,nfldraft,7
about,that,547
that,person,120
to,download,68
party,is,75
heading,out,68
even,more,555
is,giving,82
out,to,1619
more,so,90
giving,away,99
son,who,41
so,perhaps,26
new,trailer,5
just,tuned,5
trailer,for,18
than,their,73
rushed,to,40
tuned,into,6
hobbies,and,8
the,crew,106
and,interests,17
to,new,338
me,very,46
this,evening,175
its,one,60
very,happy,184
new,jersey,808
thing,to,378
yes,rt,47
story,of,363
conference,semifinal,6
from,ohio,23
to,not,377
rt,i,545
ohio,after,5
not,be,1290
my,life,1459
after,learning,24
i,could've,30
learning,of,10
tupac,shakur,6
of,his,2805
we,love,465
his,fathers,23
my,son,307
without,this,22
due,to,896
can,be,2760
spoke,to,112
be,found,235
to,reporters,40
found,with,12
its,another,10
this,week,1857
another,to,45
with,easy,6
filling,in,39
be,good,223
on,his,1256
in,for,466
good,because,35
for,his,1092
his,butt,12
his,dad,77
because,you,389
you,jealous,9
for,android,20
the,face,363
black,river,7
are,out,136
of,sync,9
cafe,in,24
surprised,i,17
foods,the,6
in,port,15
come,and,248
with,your,885
your,partner,28
and,go,367
partner,or,5
go,i,96
be,honest,199
or,not,725
his,family,327
i,this,9
family,has,64
not,paying,34
has,owned,11
because,it's,238
paying,attention,64
owned,for,6
attention,to,343
washing,my,10
the,past,1660
the,signals,10
my,face,253
it's,usually,13
past,years,115
on,this,1384
this,planet,29
partner,is,15
that,that,121
the,glass,155
that,sort,57
till,the,107
giving,you,54
sort,of,800
the,very,574
of,stuff,113
very,end,20
is,an,1519
no,its,38
an,homage,11
stuff,happens,6
its,not,679
homage,to,28
not,as,386
what,is,1615
as,if,704
credit,union,25
is,it,1424
if,were,21
it,the,736
were,carrying,5
need,help,133
are,just,441
carrying,on,13
the,link,231
help,get,34
link,doesn't,5
get,help,22
doesn't,work,103
conversations,but,5
i,needed,314
y,is,10
but,there,560
is,this,720
s,one,5
i,always,680
is,definitely,166
this,posting,6
always,liked,18
of,which,515
liked,the,159
for,being,419
things,i,414
the,design,154
being,your,15
i,didnt,640
design,and,106
going,on,993
the,way,2942
on,and,522
and,there,751
way,it,185
it,fit,10
lose,weight,47
fit,together,10
are,rare,18
is,of,181
rare,and,25
s,is,22
a,new,3287
progress,and,34
and,lovely,19
new,generation,48
and,thats,162
not,our,48
and,punched,7
thats,enough,10
the,party,343
enough,for,276
party,for,75
myself,in,136
the,eye,121
its,the,359
the,ingredients,85
a,series,399
way,to,2517
cover,my,11
ingredients,to,25
series,of,428
to,stay,762
to,make,4794
my,mouth,126
stay,healthy,27
make,your,225
your,own,689
blog,posts,68
the,bare,15
any,requests,7
