word1,word2,word3,count
the,baseball,game,7
this,weekend,can't,5
i,was,not,137
weekend,can't,wait,5
was,not,there,6
can't,wait,to,846
wait,to,see,406
there,at,the,27
to,see,the,653
at,the,time,550
can,benefit,from,9
see,the,movie,19
the,time,but,59
but,those,who,12
are,doing,it,22
those,who,were,27
doing,it,right,20
do,not,let,15
who,were,there,8
haha,it,was,11
not,let,your,5
it,was,so,224
doing,what,i,26
was,so,beautiful,7
i,may,be,81
may,be,interested,8
trust,in,god,9
be,interested,in,80
told,me,they,20
if,you,know,105
even,before,the,29
you,know,the,139
i,know,i'm,86
have,a,safe,42
a,safe,flight,10
on,your,bed,6
armed,with,a,19
with,a,shotgun,7
you,are,now,23
what,was,to,5
was,to,come,10
day,but,i,19
but,i,imagine,5
how,to,make,121
to,make,money,45
you,already,know,43
already,know,how,6
know,how,i,81
how,i,feel,84
out,right,now,16
i,feel,about,44
have,a,wonderful,98
soon,it,will,11
a,wonderful,weekend,23
it,will,be,612
if,you,dont,159
was,one,of,454
will,be,hot,6
of,the,first,306
love,you,all,30
hot,hot,hot,8
i,like,the,223
like,the,way,44
tomorrow,we,will,10
had,a,great,375
way,you,think,17
a,great,birthday,15
that,annoying,moment,5
for,the,hospitality,8
moment,when,you,129
for,many,americans,5
you,post,a,6
so,many,people,119
just,in,case,115
people,who,didn't,6
in,case,it,7
see,you,next,33
didn't,grow,up,7
you,next,week,12
that,one,person,25
while,they,are,18
one,person,who,25
struck,up,a,6
understand,why,it,5
and,the,guy,17
up,a,conversation,11
the,guy,who,50
not,letting,me,11
you,can,live,14
i,am,taking,22
can,live,in,7
live,in,a,129
in,a,different,67
into,my,own,14
different,part,of,5
i,didn't,want,103
on,stage,to,6
didn't,want,to,171
want,to,go,296
to,go,to,842
go,to,school,94
us,he,was,7
he,was,pretty,9
open,your,eyes,14
your,eyes,to,12
good,lookin,out,8
talk,to,her,23
but,if,you,220
to,research,and,7
if,you,listen,11
you,listen,to,48
and,then,he,54
a,big,fat,13
then,he,gave,5
i,can't,believe,205
how,are,ya,11
where,they're,coming,5
can't,believe,it's,27
they're,coming,from,8
it's,the,last,17
the,last,episode,8
and,the,young,13
i,have,a,1177
have,a,cold,10
said,the,state,24
that,i'm,going,19
i,cant,wait,110
i,hate,the,82
tomorrow,for,the,23
was,a,great,209
for,the,first,778
the,idea,of,298
the,first,game,49
of,college,football,7
lived,up,to,14
up,to,its,15
whose,job,it,6
job,it,is,9
it,is,to,161
but,it's,only,7
has,the,best,41
it's,only,a,15
to,announce,the,30
only,a,matter,26
a,matter,of,219
the,start,and,10
of,all,because,5
matter,of,time,37
sound,like,a,54
hoping,i,get,5
start,and,finish,5
like,a,bad,13
of,time,before,22
i,get,home,46
you,are,the,185
are,the,best,129
times,of,the,14
early,enough,to,5
people,try,to,19
the,best,and,57
what,an,amazing,27
and,failing,to,12
tonight,can't,wait,10
a,run,for,26
run,for,the,37
wait,to,do,10
for,the,th,75
to,do,it,427
the,th,of,48
do,it,again,78
it,again,in,10
th,of,the,9
of,the,game,260
the,game,for,23
our,system,of,5
today,i,was,26
is,the,most,238
i,was,having,40
the,most,valuable,17
on,earth,the,5
rate,of,return,6
before,we,were,10
such,a,great,121
we,were,able,55
a,great,performance,5
were,able,to,175
blame,it,on,28
we,have,to,430
it,on,the,213
have,to,work,109
to,percent,from,31
on,the,time,8
percent,from,percent,23
to,work,with,251
the,time,difference,5
work,with,the,62
tearing,it,up,10
i,hate,when,148
hate,when,i,34
when,i,text,9
billion,to,the,6
the,age,of,188
someone,and,they,7
in,too,many,11
too,many,people,41
hey,did,you,9
be,back,in,86
as,of,june,5
back,in,the,384
in,the,studio,92
june,according,to,7
according,to,the,725
to,the,plan,12
or,are,you,35
are,you,on,27
he,said,on,13
you,mean,the,14
the,title,of,44
it's,one,of,94
today,should,be,9
title,of,the,15
of,the,last,161
saturday,for,the,11
should,be,interesting,33
of,the,article,18
for,the,third,60
today,as,it,5
as,it,is,209
it,is,better,27
commentary,on,the,10
left,for,a,6
on,the,opening,11
for,a,day,81
the,opening,ceremony,5
a,day,and,46
gave,up,the,15
coordinator,for,the,11
up,the,ghost,5
any,way,i,20
for,the,blues,9
way,i,dont,6
i,dont,know,354
than,the,actual,8
dont,know,if,52
if,we,can,93
know,if,they,19
if,they,have,59
they,have,any,12
i,got,a,285
a,big,thank,21
big,thank,you,30
at,the,same,568
down,from,the,35
you,to,everyone,55
from,the,ceiling,10
the,same,time,538
to,everyone,who,116
the,ceiling,and,11
everyone,who,came,42
who,came,out,63
came,out,last,13
out,last,night,23
last,night,a,14
now,is,the,50
who,make,up,10
is,the,time,56
make,up,the,49
i,watched,the,34
the,time,to,240
time,to,start,63
the,base,of,46
rest,of,the,699
base,of,the,27
the,entire,team,13
he,is,in,48
in,chicago,on,7
i,get,some,18
of,the,gop,14
a,photo,of,77
photo,of,you,11
shout,out,to,187
but,all,i,20
out,to,the,187
to,gay,marriage,7
for,people,who,76
all,i,could,36
gay,marriage,and,16
people,who,know,21
i,could,feel,30
know,how,to,319
was,a,slight,5
could,end,up,12
work,so,i,15
so,i,can,433
and,the,new,98
i,can,watch,22
